year,month,dayofyear,time_of_day,rate_of_change,weekday,wind_chill,rel_hum_,rain,snow,is_holiday
2016,8,220,2,0.0,6,23.974999999999998,58.5,0.0,0.0,0
2016,8,220,3,1.0,6,26.049999999999997,50.5,0.0,0.0,0
2016,8,220,4,-7.0,6,26.5,39.0,0.0,0.0,0
2016,8,220,5,2.0,6,22.55,49.5,0.0,0.0,0
2016,8,221,0,2.0,0,21.0,60.0,0.0,0.0,0
2016,8,221,1,2.0,0,21.125,68.5,0.0,0.0,0
2016,8,221,2,4.0,0,24.1,55.25,0.0,0.0,0
2016,8,221,3,2.0,0,25.525,44.75,0.0,0.0,0
2016,8,221,4,1.0,0,25.625000000000004,41.75,0.0,0.0,0
2016,8,221,5,-30.0,0,21.75,68.0,0.0,0.0,0
2016,8,222,0,6.0,1,20.900000000000002,68.25,0.0,0.0,0
2016,8,222,1,0.0,1,21.575,76.0,0.0,0.0,0
2016,8,222,2,-3.0,1,24.475,66.25,0.0,0.0,0
2016,8,222,3,14.0,1,26.0,67.75,0.0,0.0,0
2016,8,222,4,-17.0,1,25.125,72.25,0.0,0.0,0
2016,8,222,5,-9.0,1,24.55,74.75,0.0,0.0,0
2016,8,223,0,14.0,2,23.925,83.25,1.0,0.0,0
2016,8,223,1,2.0,2,23.1,91.5,0.0,0.0,0
2016,8,223,2,6.0,2,25.225,85.0,0.0,0.0,0
2016,8,223,3,-13.0,2,29.25,64.0,0.0,0.0,0
2016,8,223,4,-13.0,2,28.200000000000003,72.0,0.0,0.0,0
2016,8,223,5,-37.0,2,27.25,66.0,0.0,0.0,0
2016,8,224,0,-8.0,3,26.475,60.0,0.0,0.0,0
2016,8,224,1,1.0,3,23.674999999999997,76.75,0.0,0.0,0
2016,8,224,2,0.0,3,26.7,64.75,0.0,0.0,0
2016,8,224,3,7.0,3,28.625,70.5,0.0,0.0,0
2016,8,224,4,-4.0,3,26.849999999999998,83.25,1.0,0.0,0
2016,8,224,5,-39.0,3,25.724999999999998,90.0,1.0,0.0,0
2016,8,225,0,1.0,4,25.225,91.0,0.0,0.0,0
2016,8,225,1,1.0,4,24.975,93.5,0.0,0.0,0
2016,8,225,2,-9.0,4,27.75,80.0,0.0,0.0,0
2016,8,225,3,16.0,4,28.65,75.25,0.0,0.0,0
2016,8,225,4,-13.0,4,28.974999999999998,70.0,0.0,0.0,0
2016,8,225,5,-54.0,4,27.700000000000003,70.0,0.0,0.0,0
2016,8,226,0,1.0,5,24.775000000000002,83.75,2.0,0.0,0
2016,8,226,1,0.0,5,24.025,92.0,0.0,0.0,0
2016,8,226,2,-1.0,5,26.35,88.25,0.0,0.0,0
2016,8,226,3,2.0,5,25.175,88.25,1.0,0.0,0
2016,8,226,4,-2.0,5,25.85,86.5,2.0,0.0,0
2016,8,226,5,1.0,5,23.675,91.0,0.0,0.0,0
2016,8,227,0,-1.0,6,23.400000000000002,88.25,0.0,0.0,0
2016,8,227,1,5.0,6,22.4,78.75,0.0,0.0,0
2016,8,227,2,-1.0,6,23.924999999999997,73.25,0.0,0.0,0
2016,8,227,3,0.0,6,27.075,57.75,0.0,0.0,0
2016,8,227,4,2.0,6,26.725,51.0,0.0,0.0,0
2016,8,227,5,-6.0,6,23.4,67.0,0.0,0.0,0
2016,8,228,0,17.0,0,21.025000000000002,76.5,0.0,0.0,0
2016,8,228,1,2.0,0,20.425,78.75,0.0,0.0,0
2016,8,228,2,1.0,0,22.625,73.0,0.0,0.0,0
2016,8,228,3,4.0,0,23.25,75.75,0.0,0.0,0
2016,8,228,4,-8.0,0,23.5,73.25,0.0,0.0,0
2016,8,228,5,-34.0,0,23.45,80.0,1.0,0.0,0
